33M Combined_Bin,33M Combined_Counts,125M Combined_Bin,125M Combined_Counts,desi_Bin,desi_Counts,sos_Bin,sos_Counts,lamost_Bin,lamost_Counts,sdss_Bin,sdss_Counts,others_Bin,others_Counts
-4.76,0.0,-5.035,0.0,-4.76,0.0,-5.035,0.0,-4.245,0.0,-4.79,0.0,-4.24,0.0
-4.75,0.0,-5.025,0.0,-4.75,0.0,-5.025,0.0,-4.235,0.0,-4.78,0.0,-4.23,0.0
-4.74,0.0,-5.015000000000001,0.0,-4.74,0.0,-5.015000000000001,0.0,-4.2250000000000005,0.0,-4.7700000000000005,0.0,-4.220000000000001,0.0
-4.73,0.0,-5.005000000000001,0.0,-4.73,0.0,-5.005000000000001,0.0,-4.215000000000001,0.0,-4.760000000000001,0.0,-4.210000000000001,0.0
-4.720000000000001,0.0,-4.995000000000001,0.0,-4.720000000000001,0.0,-4.995000000000001,0.0,-4.205000000000001,0.0,-4.750000000000001,0.0,-4.200000000000001,0.0
-4.710000000000001,0.0,-4.985000000000001,0.0,-4.710000000000001,0.0,-4.985000000000001,0.0,-4.195000000000001,0.0,-4.740000000000001,0.0,-4.190000000000001,0.0
-4.700000000000001,0.0,-4.975000000000001,0.0,-4.700000000000001,0.0,-4.975000000000001,0.0,-4.185000000000001,0.0,-4.730000000000001,0.0,-4.1800000000000015,0.0
-4.690000000000001,0.0,-4.965000000000002,0.0,-4.690000000000001,0.0,-4.965000000000002,0.0,-4.175000000000002,0.0,-4.7200000000000015,0.0,-4.170000000000002,0.0
-4.6800000000000015,0.0,-4.955000000000002,0.0,-4.6800000000000015,0.0,-4.955000000000002,0.0,-4.165000000000002,0.0,-4.710000000000002,0.0,-4.160000000000002,0.0
-4.670000000000002,0.0,-4.945000000000002,0.0,-4.670000000000002,0.0,-4.945000000000002,0.0,-4.155000000000002,0.0,-4.700000000000002,0.0,-4.150000000000002,0.0
-4.660000000000002,0.0,-4.935000000000002,0.0,-4.660000000000002,0.0,-4.935000000000002,0.0,-4.145000000000002,1.0,-4.690000000000002,0.0,-4.140000000000002,3.9999999999984017
-4.650000000000002,0.0,-4.9250000000000025,0.0,-4.650000000000002,0.0,-4.9250000000000025,0.0,-4.1350000000000025,0.9999999999994671,-4.680000000000002,0.0,-4.130000000000003,3.0000000000000004
