LOW,HIGH,t2_not_33m>10_mean_parallax_error/parallax,t1_desi<10_mean_DISTERR/DIST,t1_boss<10_mean_DISTERR/DIST,t1_others <10_mean_DISTERR/DIST,t3_not_220m>10_mean_stellar_params_err[4]/stellar_params_est[4],t3_not_17m>10_mean_parallax_error/parallax
-0.10000000000000053,-5.273559366969494E-16,-0.06289358167682804,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0033679427792438895,0.193112134112461,0.0,0.2155845243508193,0.013381191649629424,0.005710545669589764
0.09999999999999964,0.19999999999999965,0.007260636120108609,0.17029049855021622,0.0,0.22536707510522982,0.01228383538135729,0.010158374692597234
0.1999999999999993,0.29999999999999927,0.01081366172081879,0.1483305532604303,0.0,0.2906794820457168,0.012406159892311194,0.012828294938270124
0.2999999999999998,0.3999999999999998,0.013197625383478474,0.1468812436771236,0.0,0.30667757040558563,0.01437477953887952,0.01461796017343967
0.39999999999999947,0.49999999999999944,0.01497084280904922,0.14708916040148712,0.011848593226291887,0.3068623750700905,0.014719967712185525,0.01455604882409711
0.5,0.6,0.016748333058961597,0.14819277251290663,0.015267971551442674,0.32507957357130857,0.015301857094874529,0.015145053477768528
0.5999999999999996,0.6999999999999996,0.01850796787743974,0.1505909199685347,0.022230546309873984,0.33354133381374107,0.01634832944774554,0.016238143232403177
0.7000000000000002,0.8000000000000002,0.020291118954049125,0.14977119732100255,0.017122070483238477,0.3331629554679256,0.017528567110148784,0.01734989546895905
0.7999999999999998,0.8999999999999998,0.022272828279045132,0.1490146372384849,0.01924027515822996,0.34388498074694807,0.018745139466296273,0.018849207882888862
0.8999999999999995,0.9999999999999994,0.024450216887925206,0.15136875604686723,0.024716045124265118,0.3426004705407432,0.02021989948862718,0.020463930672360537
1.0,1.1,0.026705602285543858,0.15379533044342514,0.037672821820432585,0.34445960942703957,0.021804942259459167,0.02222073850773983
1.0999999999999996,1.1999999999999997,0.02900076820057948,0.15562506162974732,0.03452321593125728,0.3567293705446255,0.02320017990045419,0.023996954148253917
1.1999999999999997,1.2999999999999998,0.03141741999346856,0.15823080861683497,0.027382614737855252,0.3577447597330135,0.024673469581835437,0.025859870762935114
1.2999999999999998,1.4,0.03378032584604633,0.16077225180563523,0.02944966458212434,0.3598192690692368,0.026063665751647362,0.02794993306607464
1.4,1.5,0.0362886359100172,0.1643178324222342,0.029527273296701448,0.3699548831455735,0.027557937233707534,0.030147096667570608
1.5,1.6,0.03853346005621042,0.16704344729808177,0.041695576700332665,0.37070733049235677,0.02915057794378359,0.032427853302031
1.5999999999999996,1.6999999999999997,0.040858179457954974,0.17242468940000805,0.04762286606964266,0.36949819468647704,0.030784751237080563,0.03493892837354918
1.6999999999999997,1.7999999999999998,0.04308741247465076,0.17724948620387432,0.044471250472467944,0.3817970459595494,0.032726912587309115,0.03773228807617643
1.7999999999999998,1.9,0.045531260520363694,0.18291900437096234,0.05106011706290698,0.38701104483173543,0.03483275640131132,0.0406165904232976
1.9,2.0,0.04783852099401227,0.1886638256387926,0.04835492809795991,0.3877537231175337,0.03697845073302771,0.04359097843625372
2.0,2.1,0.05042420908121606,0.19637145448905746,0.06641679583869001,0.3797371676476501,0.039161054797252536,0.04671405723732542
2.0999999999999996,2.1999999999999997,0.05267976353111161,0.2033171929024203,0.05932285000003041,0.39749923371667983,0.04138203886417406,0.050131774348904284
2.1999999999999997,2.3,0.054950472618139574,0.21026477043914624,0.05613728517350043,0.3981872927197558,0.04361972909472725,0.0532901319800482
2.3,2.4,0.05779926065968845,0.21845167105983493,0.059418027364251634,0.39867477426475495,0.04593953900281062,0.05665944126379425
2.4,2.5,0.0602096520317596,0.22524166981251598,0.056667999297950876,0.4048912003991431,0.048292449018630904,0.06002042417844081
2.5,2.6,0.06301354700229549,0.23325918901300338,0.06034364435907523,0.38939538143443925,0.05046975475174046,0.06313371854886506
2.5999999999999996,2.6999999999999997,0.06527542486106973,0.24115743849506044,0.05246917632381408,0.3985332606176999,0.052572448099039014,0.06640468660035258
2.6999999999999997,2.8,0.06792927719027289,0.24878552305304882,0.06184629617419336,0.4043408788339566,0.05481444344769092,0.06970384553289584
2.8,2.9,0.07034773213225867,0.2565015427056434,0.05758771286959313,0.4053655147008921,0.05685934633671599,0.07287958874808363
2.9,3.0,0.07313491706442311,0.26416631267882423,0.06635304734977003,0.42008270344334514,0.058861792799834674,0.07611677030056312
3.0,3.1,0.07562736948448674,0.2701973361636863,0.05873178026071737,0.4130056864174048,0.06085394678711673,0.0794047013151919
3.0999999999999996,3.1999999999999997,0.07809577541064501,0.2786135777793699,0.06628767856304671,0.39848880648029855,0.062650999306267,0.08266738075679846
3.2,3.3000000000000003,0.08068427103705746,0.2854073060372764,0.08230517131881616,0.41625206971296813,0.06448114035024897,0.08601634012256762
3.3,3.4,0.08370540475716777,0.293469964939188,0.06944886879606868,0.3936512317350123,0.06644941632547707,0.08941029249208424
3.4,3.5,0.0862543890798239,0.29919374155526207,0.07405709965263844,0.35975586339373367,0.06834376857412817,0.0928241864440657
3.5,3.6,0.08883612891344642,0.3079498686353636,0.07907830645613804,0.36800639839533067,0.07005743604902363,0.09614791449108688
3.5999999999999996,3.6999999999999997,0.0915363113046128,0.31620844279376037,0.07861027911029402,0.3591912673645429,0.0719995443496923,0.0996277874542525
3.7,3.8000000000000003,0.09485032636900229,0.3227197693245685,0.07779614813552357,0.3527615716020807,0.07368724599867521,0.1030795521125645
3.8,3.9,0.09767103614480224,0.3306913347827687,0.08014254417048207,0.3327758845111673,0.07534972831899105,0.10662117851559415
3.9,4.0,0.10019999249676965,0.3347029697744876,0.08329661253261952,0.31660390776922265,0.07718094542961002,0.11010402812501609
4.0,4.1,0.10310132840709274,0.34283608285828066,0.09005881722592346,0.30998781379461704,0.07890190999999402,0.11356686483232176
4.1,4.199999999999999,0.10601620939577538,0.35131802767850995,0.09036313304675274,0.28128415063751816,0.0804206499601628,0.11709697984582895
4.2,4.3,0.1093247386947978,0.3579639396822443,0.08703519432249777,0.2923667247344686,0.0819094474849598,0.12070941968570423
4.3,4.3999999999999995,0.11174802410826543,0.36272818439445864,0.09369722128574427,0.25921859841805217,0.08339866928153283,0.12413324106238166
4.4,4.5,0.11509452617126098,0.3692231610630959,0.08862186857221463,0.2682243033121665,0.08494434099089869,0.1275790073722628
4.5,4.6,0.11831541244600889,0.3773355580395315,0.09381401603016468,0.2435748012985283,0.08634870261374426,0.13111835700336893
4.6,4.699999999999999,0.12120836432323719,0.3816954161037251,0.09116967531666524,0.26311318831341124,0.08791816757255624,0.13441928735205366
4.7,4.8,0.12415940002489546,0.3880415112669692,0.1055540799743975,0.2540948085159658,0.08911915029151764,0.1375609063684701
