LOW,HIGH,t2_not_33m>10_COUNT,t1_desi<10_COUNT,t1_boss<10_COUNT,t1_others <10_COUNT,t3_not_220m>10_COUNT,t3_not_17m>10_COUNT
-0.010000000000000009,-8.673617379884035E-18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.7514008879364164,0.0016548705850172667,0.009671179883945842,0.001,0.09387826882155356,0.1447631733545284
0.010000000000000009,0.02000000000000001,1.0,0.026368516429035458,0.14893617021276595,0.006,0.4910675030964147,0.6913517512636933
0.020000000000000018,0.03000000000000002,0.6465769360071848,0.09344548158785516,0.45454545454545453,0.016,0.8860021957537039,0.9738810541825185
0.02999999999999997,0.03999999999999997,0.40033902123616516,0.18903819195131125,0.8413926499032882,0.022,1.0,1.0
0.03999999999999998,0.04999999999999998,0.26707755191134835,0.31024036653331966,0.8259187620889749,0.024,0.912387417376602,0.9558225708657831
0.04999999999999999,0.05999999999999999,0.19943840293588533,0.43871166273463946,0.8704061895551257,0.028,0.8014410575794957,0.8956412399116593
0.06,0.06999999999999999,0.1611830911916573,0.5717783020480733,0.9110251450676983,0.051000000000000004,0.7086486065505815,0.8398290362002181
0.07,0.08,0.1368515528513857,0.7061647348445995,0.9245647969052224,0.096,0.6369157951065343,0.7899151149968742
0.08000000000000002,0.09000000000000001,0.11954311906258086,0.8162478202892605,0.9632495164410058,0.214,0.5761803432309738,0.7436187023464327
0.08999999999999997,0.09999999999999996,0.10569707333387002,0.9040311826854037,1.0,0.619,0.5171331596493829,0.6976545098692168
0.09999999999999998,0.10999999999999997,0.09419629949057691,0.9639210859233426,0.9516441005802708,1.0,0.45432907665290767,0.653784953803332
0.10999999999999999,0.11999999999999998,0.0837654500191324,0.9942968509590727,0.8317214700193424,0.714,0.3853974841787655,0.6086626999211469
0.12,0.13,0.0743003523021491,1.0,0.7079303675048356,0.645,0.31390283915476047,0.5661047459575952
0.13,0.14,0.06567973947787165,0.991082846103874,0.597678916827853,0.538,0.24290663524611789,0.524443707922705
0.14,0.15000000000000002,0.05748414508834875,0.9641809416350395,0.5067698259187621,0.492,0.18166922502958238,0.4874903004275666
0.14999999999999997,0.15999999999999998,0.05060188542210145,0.9265018634389852,0.3771760154738878,0.487,0.13382189271959422,0.45226789355131586
0.15999999999999998,0.16999999999999998,0.04440266500730742,0.8831401511266114,0.2998065764023211,0.448,0.09724978080147523,0.4175842645446463
0.16999999999999998,0.18,0.038723723260839615,0.834383013642425,0.20309477756286268,0.41400000000000003,0.0696737270783663,0.3844258638509895
0.18,0.19,0.03413530664225355,0.7797791226450577,0.17408123791102514,0.352,0.04997676118791783,0.35276284663208857
0.19,0.2,0.029877232643461253,0.7286149006735734,0.12379110251450677,0.292,0.03502001050143076,0.32227398818144404
0.2,0.21000000000000002,0.02630585051244015,0.6786610592539406,0.08704061895551257,0.274,0.02442863926077967,0.293615874940703
0.21000000000000002,0.22000000000000003,0.023273448445293086,0.6315451157383664,0.058027079303675046,0.259,0.016576684311415155,0.26582326200940587
0.21999999999999997,0.22999999999999998,0.020212409866213428,0.5830409956576743,0.04061895551257253,0.276,0.011051625335078547,0.2405124829962961
0.22999999999999998,0.24,0.01805502856419013,0.5438780045816666,0.04061895551257253,0.28300000000000003,0.007445966621528939,0.21653372623801104
0.24,0.25,0.015874124413079345,0.5076760009573632,0.030947775628626693,0.318,0.0049854160752284314,0.19441713030884697
0.25,0.26,0.013950218346098253,0.47134406947721136,0.019342359767891684,0.402,0.0033383495670044044,0.0
0.26,0.27,0.012181621524955624,0.4380141552979793,0.017408123791102514,0.386,0.002245497323140079,0.0
0.27,0.28,0.010832783371069729,0.4082538380004787,0.015473887814313346,0.358,0.0015013528757087838,0.0
0.28,0.29000000000000004,0.009490519926556112,0.3857352890894793,0.015473887814313346,0.301,0.0010436110852902088,0.0
0.29000000000000004,0.30000000000000004,0.00840014090332708,0.3624645262761993,0.009671179883945842,0.268,6.853565336234208E-4,0.0
0.3,0.31,0.007380914845971361,0.34072554450029063,0.02321083172147002,0.28200000000000003,5.044706449838083E-4,0.0
0.31,0.32,0.006536722162570939,0.3202584880500564,0.009671179883945842,0.23800000000000002,3.6780130690054546E-4,0.0
0.32,0.33,0.005742643375052542,0.3005983519677232,0.007736943907156673,0.258,2.5625500890611775E-4,0.0
0.32999999999999996,0.33999999999999997,0.00517093586896984,0.28599856395527745,0.0019342359767891683,0.233,1.8741787906270964E-4,0.0
0.33999999999999997,0.35,0.0046096017932300655,0.27080384312920985,0.005802707930367505,0.28600000000000003,1.4923085812768033E-4,0.0
0.35,0.36,0.004144550683630975,0.2548022019352412,0.009671179883945842,0.296,1.0953645478732091E-4,0.0
0.36,0.37,0.0036565611435552723,0.2425616302526755,0.0019342359767891683,0.306,1.1054137639087432E-4,0.0
0.37,0.38,0.003332647128481071,0.23019796902246387,0.005802707930367505,0.331,7.285681625762171E-5,0.0
0.38,0.39,0.0030367852067285867,0.21548876807877732,0.0,0.322,7.235435545584501E-5,0.0
0.39,0.4,0.0027080497381147153,0.2049099052894314,0.0019342359767891683,0.365,6.431498262741778E-5,0.0
0.4,0.41000000000000003,0.0024751589216833766,0.19366772660443807,0.005802707930367505,0.395,3.7684560133252607E-5,0.0
0.41000000000000003,0.42000000000000004,0.0022802553149585303,0.18423769959312067,0.0038684719535783366,0.36,4.170424654746622E-5,0.0
0.42,0.43,0.0020682574638657626,0.1737340581940028,0.0,0.368,3.165503051193219E-5,0.0
0.43,0.44,0.0018832889735256907,0.1655691182001573,0.0,0.371,2.6630422494165176E-5,0.0
0.44,0.45,0.0017535480419127495,0.15711013095360207,0.0019342359767891683,0.264,2.0600892872844758E-5,0.0
0.45,0.46,0.001640170831404143,0.14820665367388108,0.013539651837524178,0.14100000000000001,2.160581447639816E-5,0.0
0.46,0.47000000000000003,0.0014980110043102332,0.141450405169761,0.0038684719535783366,0.11,1.6581206458631146E-5,0.0
0.47,0.48,0.0014214521662863806,0.13444113926214654,0.0,0.083,1.2561520044417535E-5,0.0
0.48,0.49,0.0012817761182886645,0.12385543816459808,0.0019342359767891683,0.075,1.3063980846194236E-5,0.0
0.49,0.5,0.001159340419311587,0.11991657263992889,0.0038684719535783366,0.047,7.536912026650521E-6,0.0
