LOW,HIGH,t1_desi>10_COUNT,t1_desi<10_COUNT,t1_boss_COUNT,t1_boss<10_COUNT,t1_others_COUNT,t1_others <10_COUNT,t5_33m>10_COUNT,t5_33m<10_COUNT,t6_17m>10_COUNT,t6_17m<10_COUNT,t6_220m>10_COUNT,t6_220m<10_COUNT
0.002124260083264891,0.0021906432108669185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04828301183487094,0.0,1.519229099748242E-4,0.0,1.1921635118487806E-4
0.002190643210866919,0.00225910081120651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05141936911751002,0.0,1.5554012211708193E-4,0.0,1.556435696024797E-4
0.00225910081120651,0.0023296977115567132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05471006895909049,0.0,2.7129091066932894E-4,0.0,2.1525174519491873E-4
0.0023296977115567137,0.0024025007650428608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059014187866927595,0.0,2.6043927424255575E-4,0.0,2.5830209423390244E-4
0.0024025007650428608,0.0024775789139504503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06305912776069332,0.0,3.6895563851028736E-4,0.0,3.179102698263415E-4
0.0024775789139504503,0.002555003255011402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06808254123567235,0.0,3.906589113638337E-4,0.0,3.410912270011789E-4
0.002555003255011402,0.002634847106730508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07234880253471251,0.0,4.521515177822149E-4,0.0,4.106340985256911E-4
0.002634847106730508,0.0027171860788158366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07644907277979686,0.0,5.751367306189774E-4,0.0,5.132926231571138E-4
0.0027171860788158366,0.0028020981437788316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08277711769639363,0.0,6.402465491796163E-4,0.0,5.497198415747155E-4
0.002802098143778831,0.0028896637107719194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08777432205759016,0.0,7.487629134473479E-4,0.0,6.8880558462374E-4
0.00288966371077192,0.002979965701733542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09484787065511137,0.0,8.102555198657291E-4,0.0,7.186096724199594E-4
0.002979965701733542,0.0030730896299127155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994199049482807,0.0,9.223890962757184E-4,0.0,7.947756745658538E-4
0.0030730896299127155,0.003169123680847488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10597218339390552,0.0,0.0010164366119744192,0.0,9.636655054110977E-4
0.003169123680847488,0.003268158795873972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131214472090206,0.0,0.0012587898255056863,0.0,0.0011391784668777238
0.003268158795873972,0.0033702887582450335,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.12073956294846706,0.0,0.001352837341204387,0.0,0.0012252791649556912
0.0033702887582450335,0.003475610281940191,0.0,0.0,0.0,0.0,0.0,0.001968503937007874,0.0,0.12864889106327462,0.0,0.0015300807361750151,0.0,0.0013974805611116261
0.003475610281940191,0.003584223103250822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13804340229242382,0.0,0.00156987006973985,0.0,0.0013411839508298783
0.0035842231032508216,0.00369623007522741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1450295871773367,0.0,0.0018592470411204676,0.0,0.0016723404818989838
0.0036962300752274102,0.003811737265078267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15507641412729475,0.0,0.0021739444974968893,0.0,0.0019935623170360163
0.0038117372650782666,0.003930854054611963,0.0,3.038682427299523E-5,0.0,0.0,0.0,0.0,0.0,0.16491939241450004,0.0,0.002430766559597187,0.0,0.0021690752785026423
0.003930854054611962,0.004053693243818586,0.0,3.038682427299523E-5,0.0,0.0,0.0,0.0,0.0,0.17443912496505454,0.0,0.00268035419741297,0.0,0.0024207542421151628
0.0040536932438185866,0.004180371157687917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1848004612804026,0.0,0.0029299418352287526,0.0,0.002543282158610732
0.004180371157687917,0.004311007756365664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19582576181157396,0.0,0.003501461353705472,0.0,0.003059886347078537
0.004311007756365664,0.004445726748752091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2094836222160097,0.0,0.0038342448707931825,0.0,0.003583113666167724
0.004445726748752091,0.004584655709650594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22159223278352438,0.0,0.004481725844257314,0.0,0.003950697415654431
0.004584655709650594,0.004727926200577175,0.0,1.5193412136497615E-5,0.0,0.0,0.0,0.0,0.0,0.23491519895629487,0.0,0.004886853604190179,0.0,0.004427562820393943
0.004727926200577175,0.004875673894345212,0.0,6.077364854599046E-5,0.0,0.0,0.0,0.0,0.0,0.2486196533407884,0.0,0.005451138698382383,0.0,0.004964036400725895
0.004875673894345212,0.0050280387035435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26197465287484856,0.0,0.006268628642532627,8.738203425375742E-5,0.005642907289417562
0.0050280387035435,0.005185164913029235,0.0,1.5193412136497615E-5,0.0,0.0,0.0,0.0,0.0,0.27640422607399123,0.0,0.007187400526666088,0.0,0.0063979441802551225
0.005185164913029234,0.005347201316561397,0.0,6.077364854599046E-5,0.0,0.0,0.0,0.0,0.0,0.291125011648495,0.0,0.008178516653644703,0.0,0.007371544381598294
0.005347201316561397,0.00551430135770394,0.0,6.077364854599046E-5,0.0,0.0,0.0,0.0,0.0,0.30814346286459793,0.0,0.009346876175593946,0.0,0.008421310585087358
0.005514301357703941,0.00568662327513219,0.0,1.063538849554833E-4,0.0,0.0,0.0,0.0,0.0,0.3235893672537508,0.0,0.010337992302572561,0.0,0.009381664525187764
0.00568662327513219,0.005864330252480071,0.0,1.5193412136497615E-5,0.0,0.0,0.0,0.0,0.0,0.34204931972789115,0.0,0.011922331220881443,0.0,0.010722848476017644
0.005864330252480071,0.006047590572870073,0.0,1.5193412136497615E-5,0.0,0.0,0.0,0.0,0.0,0.3625390224582984,0.0,0.013152183349249067,0.0,0.011828911289788456
0.006047590572870073,0.006236577778272263,0.0,6.077364854599046E-5,0.0,0.0,0.0,0.0,0.0,0.37611243127387944,0.0,0.014968023844662441,0.0,0.013391970116434636
0.006236577778272262,0.00643147083384327,0.0,3.038682427299523E-5,0.0,0.0,0.0,0.0,0.0,0.3967506523157208,0.0,0.01709494458430998,0.0,0.015272939212907156
0.006431470833843271,0.006632454297400873,0.0,1.2154729709198092E-4,0.0,0.0,0.0,0.0,0.0,0.41686469108191226,0.0,0.01860332204763145,8.738203425375742E-5,0.016733339514921914
0.0066324542974008725,0.0068397184941946495,0.0,9.11604728189857E-5,0.013157894736842105,0.0,0.0,0.0,0.0,0.4386473767589228,0.0,0.020415545330902566,0.0,0.01867391678698687
0.00683971849419465,0.007053459697138233,1.77430801987225E-4,6.077364854599046E-5,0.0,0.0,0.0,0.0,0.0,0.457025789767962,0.0,0.02273779552623202,0.0,0.02045222735882797
0.007053459697138233,0.007273880312673803,0.0,9.11604728189857E-5,0.0,0.0,0.0,0.0,0.0,0.4785871540396981,0.0,0.025125155540122117,8.738203425375742E-5,0.022661041421058906
0.0072738803126738034,0.00750118907244486,0.0,1.6712753350147375E-4,0.0,0.0,0.0,0.0,0.0,0.5002824760041003,0.0,0.027219521370489337,1.7476406850751484E-4,0.024856609222047077
0.007501189072444859,0.007735601230958761,0.0,1.3674070922847854E-4,0.0,0.0,0.0,0.0,0.0,0.5204664057403784,0.0,0.02995775096217843,8.738203425375742E-5,0.027168081808909433
